file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,max_width,contact_time_ms,coef_restitution,north_pole_min_height,north_pole_exp_min_height,max_contact_radius,spread_time_ms,spread_time_width_ms,contact_time_exp_ms,coef_rest_exp,max_contact_radius_exp,spread_time_exp_ms
simulation 20241021T151434.mat,-22.9339202105379,0.5,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.21474159519128,1.56056130012974,0.74371260717374,1.08523551637999,1.26422636405561,0.656153668621452,0.44047547044608,0.623720595956669,1.59766843804566,0.743712596718196,0.802444365606442,0.451699234383604
simulation 20241021T151435.mat,-2.71357803409565,0.007,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.01700343185756,2.75646480049395,0.478702142736842,1.86911354719131,1.86911354719131,0.250125963287144,0.855754736134452,1.27973814528459,3.03224871438755,0.478693519440625,0.409465049520286,1.08687265068468
simulation 20241021T151529.mat,-7.2523423541868,0.05,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.06312982810427,2.10044725116564,0.791682776476125,1.67334871895511,1.67334871895511,0.409208917858597,0.82872608012164,0.978758026633434,2.22917695183691,0.79168243573739,0.559826466350261,1.07152587142317
simulation 20241021T151548.mat,-22.9339202105379,0.5,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.22138692490778,1.54887942337843,0.823545596564884,1.02182831187444,1.25758647866363,0.65916428134168,0.424212465557015,0.626927385653104,1.57957298190148,0.823545588754831,0.805832438937914,0.443224147328739
simulation 20241021T151626.mat,-2.71357803409565,0.007,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.02131111301148,2.6705686479108,0.82272609806784,1.84756325969753,1.84756325969753,0.276946945110387,1.35922071847486,1.18055672110197,2.93696124912198,0.822721251503387,0.429938945003662,1.33196300605514
simulation 20241021T151704-6.mat,-7.2523423541868,0.05,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.06959461814908,2.07868689251124,0.885728747591021,1.65290867463694,1.65290867463694,0.41321341038041,1.29233624766345,0.987691226502076,2.19023736266588,0.885728483675715,0.569761134931971,1.15238278305472
simulation 20241021T151704.mat,-27.1357803409565,0.7,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.24393682677634,1.50833643935919,0.699790214290168,0.969317881491634,1.181287487226,0.697750681874012,0.37038420993828,0.568976114710381,1.54132056195112,0.699790207235064,0.843251367968039,0.386418158420457
simulation 20241021T151818.mat,-27.1357803409565,0.7,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.2505687681526,1.49688361901477,0.786043833129097,0.887020254400534,1.18315898169838,0.700776675837917,0.358931389593868,0.566685550641498,1.52368321862071,0.786043828025834,0.847046726331972,0.373590999634715
simulation 20241021T151821.mat,-2.71357803409565,0.007,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.02263163635051,2.6705686479108,0.910085023968253,1.84322078757078,1.84322078757078,0.277332588425464,1.52299604940005,1.12672846548323,2.88725600882721,0.910081460127512,0.437595096160689,1.36838297475039
simulation 20241021T151839.mat,-7.2523423541868,0.05,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.07249276313293,2.06837935420127,0.921575052117335,1.64543404240684,1.64543404240684,0.415346527889593,1.33837658544802,0.989294621350293,2.16756077838393,0.921574826592937,0.578497866463922,1.2052948130459
simulation 20241021T151932.mat,-8.58108719634432,0.07,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.03239083147979,2.09953102553809,0.211587581383053,1.78403353380944,1.78403353380944,0.373502183142411,0.425815860405233,0.890571309981463,2.30957575065473,0.21158609548519,0.520354163734482,0.639296431625069
simulation 20241021T152014.mat,-2.29339202105379,0.005,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.01006567841631,NaN,NaN,1.90678635397241,1.90678635397241,0.222429027966382,0.77421065528224,1.35990788769552,NaN,NaN,0.375748215137579,0.925158827421587
simulation 20241021T152016.mat,-2.71357803409565,0.007,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.0232035138202,2.67927279137256,0.941545138234701,1.84179401723295,1.84179401723295,0.277408308114288,1.55529300277131,1.10519716323574,2.87328356800702,0.941542053972826,0.441582098330868,1.37067353881928
simulation 20241021T152045.mat,-17.7645382077326,0.3,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.06503040887876,1.7289177591927,0.178671772051398,1.65970201429818,1.65970201429818,0.515429996033808,0.371300435565833,0.665408862010328,1.90185534639342,0.178671434004879,0.64112058989891,0.494303726064816
simulation 20241021T152102.mat,-8.58108719634432,0.07,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.05335000528762,2.03745673927134,0.477591139549297,1.70835941102097,1.70835941102097,0.417636960307266,0.651436421190145,0.926533165862917,2.24131694140199,0.477590500635451,0.561614236663921,0.735500122518128
simulation 20241021T152202.mat,-17.7645382077326,0.3,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.1096111930837,1.69066533924234,0.375555544411803,1.53004967553694,1.53004967553694,0.56344704018897,0.417340773350368,0.70022543585734,1.85993802393285,0.37555538699344,0.699943490849854,0.531868976794486
