file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,contact_time_ms_00R,contact_time_ms002R,coef_restitution00R,coef_restitution002R,max_contact_radius_cm_00R,max_contact_radius_cm_002R,min_height_exp,spread_time_ms_00R,spread_time_ms_02R,spread_time_width_ms
higherResolution_t_rc20250201T132059.mat,-35.0208456162595,1.16591440117983,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.42053541993114,1.45928008702442,0.546191412024209,0.545774477338009,0.0158023881099629,0.0183996607038467,1.16200593764938,0.280442339470416,0.317834651399803,0.505839024526807
higherResolution_t_rc20250201T132105.mat,-27.818046476915,0.735642254459641,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.4819124419029,1.50352817687031,0.805542644170689,0.805318420987431,0.0144764057555422,0.0171919866276227,1.18674371196141,0.330944306578232,0.361930764272698,0.552765631131407
higherResolution_t_rc20250201T132230.mat,-35.0208456162595,1.16591440117983,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.42574948733165,1.44363788482288,0.760974989778387,0.76079552157797,0.0160081207850921,0.0187633189740778,1.1210334760622,0.305320889638575,0.313812370833695,0.492282449285477
higherResolution_t_rc20250201T132348.mat,-25.7628138222282,0.630957344480193,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.41122458528736,1.72006211262363,0.168628028195766,0.165135823823662,0.0119587373186061,0.0140974944901794,1.58445262388708,0.33042289983818,0.407144177302845,0.547923997116647
higherResolution_t_rc20250201T132519.mat,-32.4334610001251,1,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.33219422083101,1.6280678227747,0.150858449000007,0.148387592865978,0.0129441373204036,0.0151136071748206,1.52178895870451,0.275377245424204,0.36759175173611,0.494368076245682
higherResolution_t_rc20250201T132618.mat,-25.7628138222282,0.630957344480193,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.5015024379934,1.54680610157228,0.612451578539974,0.611839261734357,0.0138286661741789,0.016457716525505,1.25603410021104,0.373923119293874,0.394481442187318,0.590083456383637
higherResolution_t_rc20250201T132737.mat,-32.4334610001251,1,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.43975298263589,1.47998830860012,0.56290477845394,0.562445500397824,0.0152775033550129,0.017891011660355,1.18421690496777,0.287444087122532,0.336903240750244,0.525205560585848
higherResolution_t_rc20250201T132754.mat,-25.7628138222282,0.630957344480193,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.5016514113477,1.52475804513582,0.819350857632347,0.819110219644417,0.0139750662600083,0.0166975656863089,1.21669424247467,0.341744874765005,0.382861520551893,0.589487562966436
higherResolution_t_rc20250201T132912.mat,-32.4334610001251,1,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.4439242365563,1.46300534620987,0.776295162006241,0.776101501171306,0.0154949365826786,0.0182277313986468,1.14265965826693,0.312620583999292,0.329603546389529,0.510308225155816
higherResolution_t_rc20250201T133101.mat,-51.4035715470513,2.51188643150958,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.34262235563203,1.35618682975161,0.680307852712799,0.680188981201586,0.0189265917818252,0.0217131552692827,1.07433770022501,0.198953914668122,0.240517480517921,0.399174102847778
higherResolution_t_rc20250201T152025.mat,-40.8313082454925,1.58489319246111,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.26038906405822,1.54553400872547,0.133366485407138,0.131597309695608,0.014181635066436,0.0161938532795652,1.45119384401617,0.299510928820861,0.330795333223931,0.444908922617976
higherResolution_t_rc20250201T152120.mat,-22.0966597514859,0.464158883361278,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.46813240663011,1.78754965955563,0.180225380606394,0.175791565573461,0.0111406063481463,0.0134479647314892,1.62226883941178,0.315227617699548,0.434704247848404,0.585763229108928
higherResolution_t_rc20250201T152242.mat,-40.8313082454925,1.58489319246111,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.38359002806464,1.41965152434165,0.512865669858611,0.512522670306798,0.0168536045230694,0.0194609083335934,1.1184897324764,0.270014204669391,0.290125607499939,0.467701845825925
higherResolution_t_rc20250201T152352.mat,-22.0966597514859,0.464158883361278,0.0189,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.54574752422061,1.59522505915383,0.644199290655862,0.6434580988613,0.0129194353235545,0.0155570539107376,1.3044063684838,0.392991708644315,0.435747061328506,0.63596724950814
higherResolution_t_rc20250201T152410.mat,-40.8313082454925,1.58489319246111,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.39103869577966,1.40698878922611,0.729264853655267,0.729111650342362,0.0171506176745864,0.0198840449332023,1.09978479845647,0.245582574564133,0.273589565172599,0.450867856789989
higherResolution_t_rc20250201T152534.mat,-22.0966597514859,0.464158883361278,0.0189,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.54291703048891,1.56945266885986,0.844943551127463,0.844667330240395,0.0130169114812336,0.0157613688061596,1.27363932408475,0.448260823089733,0.436938848162909,0.629561395273223
higherResolution_t_rc20250201T152715.mat,-20.4641304249408,0.398107170553497,0.0189,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.49777810413589,1.82315575894775,0.185886041896966,0.180877449898635,0.0108913714940974,0.0131385094150488,1.64005383670862,0.415933605206564,0.449303636569835,0.604831818459369
