file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,max_width,contact_time_ms,coef_restitution,north_pole_min_height,north_pole_exp_min_height,max_contact_radius,spread_time_ms,spread_time_width_ms
simulation 20241021T143220-2.mat,-1.02563609162638,0.001,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.00913329624791,NaN,NaN,1.91831185680663,1.91831185680663,0.175990781995913,0.670548609837911,1.66871147896393
simulation 20241021T143220-6.mat,-3.24334610001251,0.01,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.02593408844339,2.57848920619567,0.81658633079304,1.82626258051068,1.82626258051068,0.265357367400127,0.598662027763901,1.13722215903968
simulation 20241021T143220-9.mat,-10.2563609162638,0.1,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.10373537200383,1.90911906491636,0.861981156825586,1.52865936051105,1.55099918649853,0.502217857876138,0.676440952630863,0.926276287052014
simulation 20241021T143220.mat,-32.4334610001251,1,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.28609400069206,1.45540866985908,0.728198651144377,0.745127985264372,1.14651014385804,0.773233077165721,0.361789847487243,0.511455354428216
simulation 20241021T143228.mat,-10.2563609162638,0.1,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.03907874329789,2.0257874522168,0.208828276643931,1.75347323842158,1.76779860291782,0.440129740791857,0.545630942627335,0.850854299302233
simulation 20241021T143229.mat,-10.2563609162638,0.1,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.10834473636518,1.89733437933045,0.908199969690809,1.51420224594947,1.54342307584014,0.50906181776343,1.20203792976215,0.938060972637918
simulation 20241021T143231.mat,-3.24334610001251,0.01,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.0278147494869,2.59263082889875,0.898446187646071,1.82086505226173,1.82086505226173,0.26489355220149,0.603375901998262,1.0983326966062
simulation 20241021T143235.mat,-10.2563609162638,0.1,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.06473677524419,1.96215015005292,0.453558382098659,1.66855823214239,1.74496362867585,0.441430696765801,0.411285526948037,0.872066733356859
simulation 20241021T143237.mat,-3.24334610001251,0.01,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.01345142679283,NaN,NaN,1.88318001340487,1.88562093127098,0.269030727639433,0.605732839115443,1.20793027255511
simulation 20241021T143240.mat,-3.24334610001251,0.01,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.02865196064157,2.61266479439479,0.926004400003525,1.81906121376466,1.81906121376466,0.264706721015743,0.605732839115443,1.0865480110203
simulation 20241021T143243.mat,-10.2563609162638,0.1,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.09343103838644,1.93858077888111,0.753320439210057,1.56549359435059,1.56549359435059,0.502284933599903,0.722401226415886,0.903885384438798
simulation 20241021T143249-5.mat,-1.02563609162638,0.001,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.0063783996477,NaN,NaN,1.93495687635228,1.93495687635228,0.176707060221713,0.645800770107514,1.70524400428023
simulation 20241021T143249.mat,-1.02563609162638,0.001,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.01093326476942,3.51655017883358,0.696788493935952,1.90639771570551,1.91276330225191,0.175383622905452,0.70001032380267,1.68167463310842
simulation 20241021T143301.mat,-1.02563609162638,0.001,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.01134247089692,3.43877125396661,0.864420362457125,1.90398682143653,1.91251423922986,0.175225641120241,0.708259603712802,1.7453119352723
simulation 20241021T143304.mat,-3.24334610001251,0.01,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.02031590671248,2.65037578826968,0.489280032925224,1.85155372763383,1.8640101557042,0.26722695535702,0.583341936502226,1.22560730093396
simulation 20241021T143313-7.mat,-1.77645382077326,0.003,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.01219220923091,3.23348919395357,0.354633900374749,1.89669117665734,1.89718842929447,0.187461444096543,0.576689272130425,1.45053720850259
simulation 20241021T143313.mat,-1.02563609162638,0.001,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.01154984528827,3.41991575702917,0.919283449181334,1.90316649639418,1.91228770190152,0.175305843717842,2.63976957124237,1.76888130644411
