file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,max_width,contact_time_ms,coef_restitution,north_pole_min_height,north_pole_exp_min_height,max_contact_radius,spread_time_ms,spread_time_width_ms,contact_time_exp_ms,coef_rest_exp,max_contact_radius_exp,spread_time_exp_ms
WeOhSweep20241109T154004.mat,-6.47132624775624,0.0398107170553497,0.0189312135804878,0.303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.03608586368709,2.0205065651616,0.510466941458688,1.77760685349434,1.77760685349434,0.339114957478211,0.515605971905422,0.955623329537722,2.28002747416613,0.510465603418481,0.500101312518458,0.79368044986774
WeOhSweep20241109T154012.mat,-2.57628138222282,0.00630957344480193,0,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.0148728861553,2.24933391564308,0.880276677266644,1.88824254560078,1.88824254560078,0.218852517588696,1.27103400182283,1.03968703086571,2.51847519373692,0.880276677266644,0.37760552115081,1.1468854292894
WeOhSweep20241109T154018.mat,-3.63909417790234,0.0125892541179417,0,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.0226321635571,2.13320231735068,0.86557525050489,1.84672145223283,1.84672145223283,0.248457571017687,0.691292235988698,1.01105498000468,2.33912402714333,0.86557525050489,0.415737322499233,1.10359376838752
WeOhSweep20241109T154048.mat,-4.58134813647345,0.0199526231496888,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.03780417431181,2.16412493228061,0.90354828117715,1.77854701172934,1.77854701172934,0.305714111908456,1.4293119789827,1.01655233376999,2.32744215039202,0.903547332005632,0.476124951248595,1.24698307909956
WeOhSweep20241109T154113.mat,-6.47132624775624,0.0398107170553497,0.0189312135804878,0.0759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.05061224860533,2.0085956320034,0.804928952528761,1.72208567759036,1.72208567759036,0.358965657918642,0.674113005472081,0.956310498758387,2.14511325050887,0.804928506158624,0.517114744518174,0.852547946438016
WeOhSweep20241109T154127.mat,-3.63909417790234,0.0125892541179417,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.02471941398623,2.12793401999224,0.927166920829024,1.83995074816468,1.83995074816468,0.249198407466684,1.4510723376371,1.0067029082738,2.31553121723382,0.927166920829024,0.419091555978912,1.26691098649884
WeOhSweep20241109T154130.mat,-2.57628138222282,0.00630957344480193,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.01616846024649,2.24750146438798,0.932794239119516,1.88431702569961,1.88431702569961,0.219753082765913,1.42679235850693,1.02434025160419,2.50679331698562,0.932794239119516,0.38062271001402,1.33242111886892
WeOhSweep20241109T154155.mat,-4.58134813647345,0.0199526231496888,0.0189312135804878,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.03925755385538,2.15519173241196,0.934465658097396,1.77497531521614,1.77497531521614,0.332773224127139,1.26622381727818,1.01265837485289,2.30568179173762,0.934464812412598,0.48144270980907,1.28867134515324
WeOhSweep20241109T154213.mat,-6.47132624775624,0.0398107170553497,0.0189312135804878,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.05570488402778,1.98958395023167,0.89847194732608,1.70457511727263,1.70457511727263,0.359970661397939,1.29004568359457,0.967305206289023,2.10365404086208,0.898471613183978,0.520607903501718,0.871101515395963
WeOhSweep20241109T154235.mat,-3.63909417790234,0.0125892541179417,0,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.02568223462009,2.12610156873714,0.949478642137858,1.83757982547371,1.83757982547371,0.249690980787713,1.48176589616014,1.0046414006118,2.30132972000674,0.949478642137858,0.423250279851656,1.27492796073994
WeOhSweep20241109T154247.mat,-2.57628138222282,0.00630957344480193,0,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.01676749924618,2.24383656187776,0.951401228631011,1.88297391296596,1.88297391296596,0.22012852435593,1.4707711886295,1.01930101065265,2.50221218884785,0.951401228631011,0.383129892455017,1.36907014397106
WeOhSweep20241109T154301.mat,-4.58134813647345,0.0199526231496888,0.0189312135804878,0,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.04126900549752,2.15427550678441,0.968847418400685,1.77095399826271,1.77095399826271,0.335531091098441,1.36907014397106,1.00235083654292,2.2628482436495,0.968846829923826,0.489775620116919,1.28890040156013
WeOhSweep20241109T154310.mat,-6.47132624775624,0.0398107170553497,0.0189312135804878,0.0151883524683513,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.05803737331007,1.9811088631768,0.934515319387603,1.69802009110713,1.69802009110713,0.362430428174356,1.34020903670312,0.971199165206122,2.08876537441433,0.934515016195559,0.523532068237528,1.22659705888651
WeOhSweep20241109T154342.mat,-3.63909417790234,0.0125892541179417,0,0,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.02699645025057,2.14625853254331,0.972280466645863,1.83495384030283,1.83495384030283,0.279129459583721,1.33265017527581,1.00853535952891,2.28163086901434,0.972280466645863,0.429298995213736,1.34341582639956
WeOhSweep20241109T154403.mat,-2.57628138222282,0.00630957344480193,0,0,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.01752551986687,2.24017165936755,0.971815539606216,1.88139654246685,1.88139654246685,0.22052206832975,1.51085605983496,1.02479836441797,2.49648577867564,0.971815539606216,0.388842264793733,1.32783999073115
WeOhSweep20241109T154406-6.mat,-4.58134813647345,0.0199526231496888,0,0.759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.0142108556388,1.88215649540102,0.405318032442749,1.87847098089003,1.87847098089003,0.255546016439773,0.398787204392421,0.982193872736758,2.38333191367278,0.405318032442749,0.416259650672421,0.709845804946646
