file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,max_width,contact_time_ms,coef_restitution,north_pole_min_height,north_pole_exp_min_height,max_contact_radius,spread_time_ms,spread_time_width_ms,contact_time_exp_ms,coef_rest_exp,max_contact_radius_exp,spread_time_exp_ms,energy_modes_1,energy_modes_2,energy_modes_3,energy_modes_4,energy_modes_5,energy_modes_6,energy_modes_7,energy_modes_8,energy_modes_9,energy_modes_10,energy_modes_11,energy_modes_12,energy_modes_13,energy_modes_14,energy_modes_15,energy_modes_16,energy_modes_17,energy_modes_18,energy_modes_19,energy_modes_20,energy_modes_21,energy_modes_22,energy_modes_23,energy_modes_24,energy_modes_25,energy_modes_26,energy_modes_27,energy_modes_28,energy_modes_29,energy_modes_30,energy_modes_31,energy_modes_32,energy_modes_33,energy_modes_34,energy_modes_35,energy_modes_36,energy_modes_37,energy_modes_38,energy_modes_39,energy_modes_40,energy_modes_41,energy_modes_42,energy_modes_43,energy_modes_44,energy_modes_45,energy_modes_46,energy_modes_47,energy_modes_48,energy_modes_49,energy_modes_50,energy_modes_51,energy_modes_52,energy_modes_53,energy_modes_54,energy_modes_55,energy_modes_56,energy_modes_57,energy_modes_58,energy_modes_59,energy_modes_60,energy_modes_61,energy_modes_62,energy_modes_63,energy_modes_64,energy_modes_65,energy_modes_66,energy_modes_67,energy_modes_68,energy_modes_69,energy_modes_70,energy_modes_71,energy_modes_72,energy_modes_73,energy_modes_74,energy_modes_75,energy_modes_76,energy_modes_77,energy_modes_78,energy_modes_79,energy_modes_80,energy_modes_81,energy_modes_82,energy_modes_83,energy_modes_84,energy_modes_85,energy_modes_86,energy_modes_87,energy_modes_88,energy_modes_89,energy_modes_90,energy_modes_91,energy_modes_92,energy_modes_93,energy_modes_94,energy_modes_95,energy_modes_96,energy_modes_97,energy_modes_98,energy_modes_99,energy_modes_100,energy_modes_101,energy_modes_102,energy_modes_103,energy_modes_104,energy_modes_105,energy_modes_106,energy_modes_107,energy_modes_108,energy_modes_109,energy_modes_110,energy_modes_111,energy_modes_112,energy_modes_113,energy_modes_114,energy_modes_115,energy_modes_116,energy_modes_117,energy_modes_118,energy_modes_119,energy_modes_120
directComparison20241114T132952-3.mat,-8.07632254416813,0.062007,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.07884631357542,2.02531674970625,0.880470684636685,1.61877595704187,1.61877595704187,0.438296483580371,1.22109970512119,0.969366713951017,2.11075478947562,0.880470520668516,0.571716659828667,1.14413675240674,0,10.5465697396325,0.00842067880335476,0.0380983843782467,0.0300653846087573,0.0252009035951965,0.0136152459500844,0.00447828255792271,0.000609235855785359,6.10972855643349e-06,0.000193376884539905,0.000188906206918347,6.39009632242681e-05,3.51267241419955e-06,3.16810925407653e-06,6.07735598058313e-06,2.56765446095572e-06,3.47645887924325e-07,1.68420978159002e-07,4.44956349264623e-07,7.21811793910829e-08,8.61485132138038e-09,2.24051515923988e-08,3.15554674567783e-09,2.11250880326527e-10,6.12499990140266e-10,8.82068138800431e-11,3.21365467093418e-12,1.20196280857586e-11,1.78542547262174e-12,4.13074360382389e-14,1.93181302326642e-13,2.71512249736751e-14,8.29441271655974e-16,2.67329049821268e-15,2.50063873072938e-16,2.17282030007722e-17,2.62640644821004e-17,1.07829790583531e-18,3.44047181738307e-19,1.5976888729689e-19,1.43317121997094e-21,2.91914302886466e-21,5.83651753060463e-22,2.46837917105338e-25,1.42354151787955e-23,1.22998334802814e-24,3.40079932517163e-26,4.15409964441268e-26,1.31132423922912e-27,2.20866700856117e-28,7.31392104364496e-29,4.53159778696753e-31,5.85911666473831e-31,7.80398244094847e-32,1.97010361427938e-35,8.39977165382587e-34,5.07877145907807e-35,7.2029209046734e-37,7.28424983418627e-37,2.02643150803385e-38,1.25623355245675e-39,4.09826169812043e-40,4.99629466248963e-42,9.4344509527309e-43,1.58315389861905e-43,7.90708712139192e-46,4.05883777140076e-46,4.418948535025e-47,9.49189173630843e-50,1.10538363165534e-49,9.29223201384538e-51,1.34740362205702e-53,1.97125769205968e-53,1.50185039373554e-54,3.14456115896703e-57,2.26003655772161e-57,1.83093295839362e-58,8.16386653415388e-61,1.51433241521425e-61,1.5590028223537e-62,1.4483506753664e-64,4.47077181901059e-66,7.77667207858545e-67,1.28723951026664e-68,1.57880762179453e-71,1.42142867572049e-71,2.98262379548035e-73,2.4024384596065e-76,4.30971728721384e-64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
directComparison20241114T132952-6.mat,-12.8064948981505,0.15591,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.12944479448903,1.789846763425,0.847178087333741,1.42956348392702,1.43149545019079,0.518329605927548,0.550422545752433,0.869727176954634,1.84436218826444,0.847178044088874,0.657270622979169,0.707326184470875,0,1.62083283315802,0.0136861945475348,0.126340407451509,0.00147397843005844,0.00407360568493625,0.00747116017513743,0.00708863161292597,0.00484678054463984,0.0025465665942872,0.000996297078475681,0.000246516062312728,1.75115232363492e-05,7.82223409604073e-06,3.4331268667764e-05,3.70465826689003e-05,2.19953548297325e-05,7.47553674931861e-06,9.37823577758951e-07,4.7713308122798e-08,5.66262351355194e-07,6.82079004871027e-07,4.4854207091553e-07,1.32549201565028e-07,9.90309354634805e-10,2.72203992169317e-08,3.41447906899627e-08,1.14405629029326e-08,5.78043274332855e-10,4.14027263810729e-10,7.8043112040396e-10,3.17349025370391e-10,3.50391148652548e-11,1.03078006745776e-12,8.66995635681137e-12,5.00950555305201e-12,9.34179524309191e-13,1.01723759357324e-14,5.09953579516112e-14,5.01816883524907e-14,1.38366088110877e-14,8.19814836348991e-16,1.49005205935076e-16,3.38400811571248e-16,1.23344549394258e-16,1.2178345148856e-17,1.41225090694938e-19,1.49770651580418e-18,6.68566741366379e-19,8.50778720335281e-20,9.24053787037867e-23,4.04450563124245e-21,2.25239553125782e-21,3.51218758704653e-22,5.71041040814139e-24,6.03446038579769e-24,4.76559233903917e-24,9.20284637532765e-25,3.82997861993803e-26,3.78395204141453e-27,6.13763283531414e-27,1.53406196293278e-27,1.13546751593506e-28,9.45954449822354e-32,4.3284125425376e-30,1.56257926820377e-30,1.80425462930889e-31,3.05525376800357e-33,1.20447430047263e-33,8.8262257001822e-34,1.5637394372085e-34,8.9389083832762e-36,4.23769025267523e-39,2.15866036362297e-37,6.78416940012365e-38,7.52190924665332e-39,2.25416785831903e-40,7.07544648461632e-42,1.12175616708273e-41,2.31800320638056e-42,1.90572259739868e-43,3.93340939884057e-45,1.93167614485803e-46,1.81797305670253e-46,2.87092842564961e-47,1.85005181256635e-48,3.48923184581026e-50,1.79084477144494e-52,1.38514574214416e-52,2.08514816196614e-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
directComparison20241114T132952-9.mat,-10.0416006613669,0.095856,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.10090022881121,1.90964326422762,0.868904252346508,1.53820395732485,1.53820395732485,0.465441565340429,1.21331178728699,0.926762222269805,1.97836018629414,0.868904165902212,0.609992526944596,0.839262674838499,0,7.19243302493985,0.0236580561006963,0.000233225816979958,0.00369735377096431,0.0137298026936664,0.0130463301911533,0.00777401666708226,0.00319316917681307,0.000781287736263805,4.8159831396366e-05,2.76032721714867e-05,9.42251334814518e-05,7.87760956999092e-05,3.07765557470508e-05,3.9948000776102e-06,2.07299918722748e-07,2.06195106068472e-06,1.79562085113319e-06,7.88011940502167e-07,7.54555292339969e-08,6.16431776086874e-08,1.41868705836419e-07,4.23268844912023e-08,1.12263308278988e-10,4.86216063748076e-09,3.20750664221452e-09,3.3832476152364e-10,2.64452446800031e-11,9.2524032497356e-11,2.81887071616821e-11,7.22854302906923e-13,9.57662081934045e-13,8.5967178627925e-13,1.27568153807424e-13,3.59906143059503e-16,1.24646359273233e-14,4.60327210328588e-15,1.88599756462664e-16,7.94483967808021e-17,7.78887648700534e-17,9.44917953763124e-18,7.58335479053019e-20,7.14602445000192e-19,1.66966389195408e-19,2.02823283839973e-21,3.4582603369536e-21,1.58205411424243e-21,8.84137959015103e-23,6.48909507469154e-24,8.80117657075781e-24,1.05876734182986e-24,1.03834678838472e-29,2.80023038699647e-26,6.4365550331033e-27,1.42137875500274e-28,4.21078195377689e-29,2.22689714546661e-29,1.50539466154416e-30,9.32410300868655e-33,4.26717885070954e-32,6.15230196923058e-33,6.723471605882e-35,3.65890925956544e-35,1.26901463085785e-35,6.60457368290649e-37,3.34861697495435e-39,1.27037873846268e-38,1.63929455916418e-39,2.51041932363346e-41,4.03909311323258e-42,1.68577641792286e-42,1.09314427121776e-43,1.56478694741175e-46,5.98091105682705e-46,1.13221108740485e-46,4.33599323604422e-48,3.63777964135432e-51,3.44181020752451e-50,4.25185054140555e-51,1.15924202137689e-52,3.45308476798671e-55,8.52007052874078e-55,8.25841097128979e-56,1.93604951073166e-57,1.01340514767855e-60,5.69788866183931e-60,3.70680689161808e-61,4.0074934973108e-63,2.50293918468839e-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
directComparison20241114T132952.mat,-16.3649229763842,0.25459,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.16075964405039,1.68310647781502,0.811989951617683,1.29965546102744,1.34590919543775,0.574994200925732,0.484454300568621,0.78062423467511,1.72594002590315,0.811989929907879,0.708406657044144,0.583406668344339,0,0.347611502265745,0.0643848858083954,0.308455165282416,0.00418684148501743,5.34426249350555e-06,0.00171906884266266,0.00354285890434634,0.00369183948304344,0.00292147474234497,0.00190100383996879,0.00102466051239817,0.000442763875163297,0.000138539463869242,2.22091270060156e-05,3.1328733409613e-09,7.4515041621956e-06,1.41519832943597e-05,1.33047538143066e-05,8.30073706733642e-06,3.52043612512586e-06,8.62595443235269e-07,4.42472299919428e-08,5.20282532588267e-08,1.94709514589805e-07,2.42607463749425e-07,1.63739634530291e-07,5.18816623310093e-08,2.58168537974212e-09,3.55795159217313e-09,8.52792664728071e-09,5.53630426573478e-09,1.58805631847011e-09,1.18033637599328e-10,2.54149791275537e-11,9.41476750206441e-11,6.59139162660203e-11,2.14139882062359e-11,2.72079062301713e-12,3.80526606181836e-15,4.59605800599178e-13,4.40773374193289e-13,1.77902326791816e-13,3.36325250877324e-14,1.05369921715313e-15,1.04475756156305e-15,1.83776980681231e-15,9.3349359941551e-16,2.23877617462506e-16,1.72905875375743e-17,8.49210722180088e-19,4.7102174967819e-18,2.92108743119347e-18,8.03078568306441e-19,8.95555867680243e-20,3.96390185235331e-23,6.3483946997694e-21,5.10058227051053e-21,1.61075717291441e-21,2.35946705484431e-22,6.50104855507102e-24,3.24672016221331e-24,4.6458678156276e-24,1.81431878900678e-24,3.45772532548918e-25,2.57480385585861e-26,5.12151294496099e-29,1.81372739329865e-27,1.05534793781998e-27,2.69169716388812e-28,3.48401666155621e-29,1.29302730168188e-30,1.18186267183241e-31,2.45471139539617e-31,9.56775388578044e-32,1.88608955295099e-32,1.93769990473108e-33,5.13037469756484e-35,7.25888877336884e-36,1.02643427230764e-35,3.34044116727355e-36,5.73955258214862e-37,5.47287849449974e-38,1.90908489285004e-39,2.04744562212643e-41,7.21593127239736e-41,1.95555222637918e-41,2.16880149266924e-42,8.45027243653562e-44,2.23796616963992e-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
directComparison20241114T133114.mat,-49.1888482846112,2.3001,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.35529149854183,1.36002241589897,0.523233309150392,0.546617663498194,0.920125322666588,0.858526877179277,0.201226053451318,0.401879465885413,1.38086654892581,0.523233307335686,0.982543456528384,0.217718114747271,0,28.8580712431553,0.973377889931827,0.0331046717618454,0.394615945076277,0.0169968059288012,0.0199596564178984,0.00329632255643176,0.000846552265795769,0.000118576521440476,1.34529445901107e-06,5.6071781803465e-05,0.000119819187876226,0.000154931859924812,0.000159493169882164,0.000143840702783399,0.00011782637440408,8.91231169003508e-05,6.26694613777658e-05,4.09497650774361e-05,2.47004621845609e-05,1.355794062066e-05,6.58938551666961e-06,2.6840585176785e-06,8.03162807852096e-07,1.092206974844e-07,5.85755371363171e-09,1.20039242085144e-07,2.5471242832635e-07,3.32550864950001e-07,3.42970132882514e-07,3.00631452502464e-07,2.24833711708776e-07,1.38107709706035e-07,6.47298646681216e-08,1.98168878253147e-08,2.20287383148259e-09,3.34089019124422e-10,2.95778676546735e-09,4.46809678933677e-09,4.02837372366644e-09,2.677003326436e-09,1.39536147156543e-09,5.70805989888187e-10,1.71668682232137e-10,2.97216102127088e-11,4.28623384267915e-13,3.65705530888737e-12,8.58677193000125e-12,9.00021011631673e-12,6.64541342869998e-12,3.89211941277383e-12,1.87565794651157e-12,7.40291342406362e-13,2.27481315693052e-13,4.63537573798358e-14,2.96892117440186e-15,1.00478813081139e-15,4.60819252775611e-15,5.49672137886458e-15,4.22940405524044e-15,2.51121629100836e-15,1.21905771567558e-15,4.89607551567454e-16,1.58998465001474e-16,3.85405059282103e-17,5.36404436246179e-18,4.86042672978558e-20,5.13833796415164e-19,9.67553495837956e-19,8.38450536356751e-19,5.16672698621018e-19,2.54703567803369e-19,1.0470234172289e-19,3.61691745855269e-20,1.02929654827422e-20,2.26313313716968e-21,3.17998131964745e-22,1.06464356975332e-23,7.02491988142214e-24,1.71894663899078e-23,1.39203884084989e-23,7.4622804673889e-24,3.07905000462696e-24,1.02246441902573e-24,2.72866216269535e-25,5.60595993729859e-26,7.86912919980908e-27,5.16832978034992e-28,8.10868073557098e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
directComparison20241114T133121.mat,-10.0416006613669,0.095856,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.10096494171956,1.90924250871356,0.869279749595792,1.5381573025802,1.5381573025802,0.472888386297851,0.732799929803393,0.928550917354104,1.97821717175464,0.869279693187746,0.609917617660118,0.836932304459365,0,7.24410008069991,0.0303239717717634,9.92064630903568e-06,0.0038246964157466,0.0134591230964663,0.0128703934691128,0.00776210355229669,0.00322180993676672,0.000800373906855115,5.2570349816118e-05,2.5210197318473e-05,9.14758240355946e-05,7.76806880651567e-05,3.07646241959621e-05,4.15301369265059e-06,1.56513512345584e-07,1.99215880885178e-06,1.79375759430191e-06,5.80794998593887e-07,3.12225928912186e-08,2.71968830566584e-08,5.8027473541702e-08,2.68099674304739e-08,3.52807896145848e-09,1.88444158819767e-10,1.81452873684198e-09,1.13875126903028e-09,1.05020209740756e-10,3.28000215823083e-11,6.93978871893853e-11,1.62221932503232e-11,1.11495090873524e-16,1.7127713544202e-12,7.79506965957978e-13,3.6184086056902e-14,1.75777383973e-14,1.90298758780298e-14,2.54769447398767e-15,2.82545865348184e-17,2.63468906322661e-16,7.06470213193103e-17,1.00393345230876e-18,2.02039891907283e-18,1.10345540840032e-18,7.36561935363413e-20,6.76943437036956e-21,1.08390203792295e-20,1.5010175476291e-21,9.43765428570943e-25,6.88664740665517e-23,1.64321852777865e-23,2.09078948553022e-25,2.73983914211919e-25,1.12844652967387e-25,4.77328475607744e-27,5.94054618178063e-28,5.11859753282668e-28,4.13551244444743e-29,3.7586558272054e-31,1.53936098754721e-30,2.06514123109796e-31,4.14238453225023e-34,2.93763469811815e-33,6.60952259527558e-34,1.35142322204108e-35,3.07672557338347e-36,1.38623881942376e-36,7.13780931459287e-38,9.54602908548926e-40,1.84840435420366e-39,1.84630026624897e-40,4.36810112332802e-43,1.40116926420944e-42,2.77038246976124e-43,6.8702842141317e-45,4.03948412821642e-46,2.41870520227508e-46,1.57972485595249e-47,4.78957849984402e-51,1.07340374231146e-49,1.61391268320316e-50,3.58930323913863e-52,1.27573684711789e-53,7.98672373962364e-54,5.49013043683561e-55,2.44312390867361e-57,1.43849169854823e-57,2.94121313683522e-58,1.13691977713222e-59,8.25928730193442e-65,5.45401358566132e-62,6.61230899029581e-63,1.72719347381729e-64,3.83512006557855e-67,1.06952416737697e-66,1.01818801287749e-67,2.3092768978899e-69,4.52430532123985e-72,1.19586571593654e-71,1.1146328551583e-72,2.86199203889209e-74,9.88053318598607e-79,7.08757791190624e-77,8.14330739826178e-78,2.82353073582581e-79,1.4693454084271e-81,1.48918328203087e-82,3.237325528362e-83,1.67449512684461e-84,2.91121727989285e-86,7.23352070118635e-91,4.08562038231038e-89,3.84992157872574e-90,1.25360155412041e-91,1.37465040432796e-93,5.94917924937838e-98,8.45363259431824e-97,2.4947328460363e-98,2.44094650354364e-86
directComparison20241114T133128.mat,-38.4360460863504,1.4044,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.30571499214447,1.41442751240482,0.595468137254569,0.727653343657667,1.04311311121947,0.784379189813439,0.250051775193143,0.462487778425414,1.43796530238428,0.595468135336575,0.914746183649719,0.26941831125219,0,26.244690446251,1.19899301335833,0.0363602115336906,0.332645832545835,0.0211254601993184,0.0113758321174936,0.00237714704033824,0.000231789894200255,3.2145820404655e-07,0.000109375534204343,0.000236719150597431,0.00029716762241242,0.000297093725326892,0.000258084253276278,0.000202076309443873,0.000144879028787628,9.54708522162127e-05,5.75560851291023e-05,3.13125785544886e-05,1.49508609997967e-05,5.9167695886898e-06,1.68793296210485e-06,2.04699425787122e-07,1.88171196895589e-08,2.57104629703334e-07,4.90214170882665e-07,5.7639004421225e-07,5.24669129572667e-07,3.97893806486705e-07,2.57586342289464e-07,1.41961201852083e-07,6.45746825262888e-08,2.22443646397471e-08,4.41665328525049e-09,4.59535728601837e-11,1.01995396737745e-09,2.82260091948114e-09,3.69579124742038e-09,3.44266219182591e-09,2.50874646403887e-09,1.44401036332528e-09,6.27205763212644e-10,1.77691556698424e-10,1.77359277082887e-11,3.26693883983153e-12,2.43745737068372e-11,3.4076560980797e-11,2.82594325342952e-11,1.68482012989432e-11,7.52176980969547e-12,2.40514843935847e-12,4.45051803809286e-13,1.08206536969392e-14,3.74520307422117e-14,9.23104372665842e-14,9.10661988091166e-14,6.03010012355026e-14,3.02138501577912e-14,1.16844188654331e-14,3.30705197454339e-15,5.51506133089354e-16,1.25019502944864e-17,3.82804703385117e-17,8.84579252714648e-17,8.22919819547001e-17,5.19354124586165e-17,2.51585908946632e-17,9.61732031885318e-18,2.81086467869837e-18,5.49144542797556e-19,3.95074874644687e-20,4.76760391641055e-21,2.8059166493263e-20,3.06963370220214e-20,2.05832895892975e-20,1.03590162464324e-20,4.14947208882713e-21,1.32459412496638e-21,3.18874422331347e-22,4.77570243385774e-23,1.50405588506366e-24,1.48248571197499e-24,3.58712161925279e-24,3.06327067495489e-24,1.75669480056066e-24,7.83988718137574e-25,2.85317379351691e-25,8.48761449487157e-26,1.98228866811247e-26,3.18749478034253e-27,2.0534310891695e-28,1.25499271180886e-29,7.97072015303457e-29,7.69765721299797e-29,4.55209323559763e-29,2.06089869466901e-29,7.68904179409339e-30,2.42391103134998e-30,6.43997902294935e-31,1.3960338897938e-31,2.2499512441065e-32,1.97869475696357e-33,1.64370983643374e-36,1.49111288200655e-34,1.75976954692965e-34,1.05929224083554e-34,4.68420910518508e-35,1.69360461755397e-35,5.21961079329698e-36,1.39134046008261e-36,3.20006990274731e-37,6.22985802560192e-38,9.81302307682076e-39,1.12875755291851e-39,7.0525330562122e-41,2.26580002883785e-43,9.9043230552964e-43,3.57949086764512e-43,1.38247768664794e-32
directComparison20241114T133224.mat,-38.4360460863504,1.4044,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.30572275263631,1.41476689714529,0.594822505563743,0.728930105730157,1.04883638258452,0.785471926903867,0.216343776305941,0.461434131676354,1.4381306506479,0.594822502633329,0.914612924669673,0.280937683048424,0,26.0759883726881,1.18332602969705,0.0400751694631582,0.321950794603717,0.0218258236142163,0.0110824849191574,0.00229456777211054,0.00023101428874965,1.26008781658521e-06,0.000113536738401064,0.000242572708572636,0.000303425694443548,0.000301385847774136,0.000261196031386978,0.000204178758953798,0.000146146044417533,9.61529889911309e-05,5.78476648265885e-05,3.13648461022472e-05,1.48817156037684e-05,5.81196709642619e-06,1.60278919907534e-06,1.67350087602744e-07,3.57418464237482e-08,3.20045129679039e-07,5.83416343646317e-07,6.83444924584956e-07,6.33203022458002e-07,4.98340862140029e-07,3.37323252430203e-07,1.87818709503799e-07,7.6360014233218e-08,1.65502190567958e-08,1.1304523191505e-10,4.318113551782e-09,1.00784211270805e-08,1.05796392102239e-08,7.4033739285147e-09,3.79836737130972e-09,1.42272919918355e-09,3.44579415653656e-10,2.96146018558246e-11,4.72341388572563e-12,3.14891915785869e-11,4.01662088690776e-11,3.12216641384095e-11,1.80213935006973e-11,8.13555772739988e-12,2.83032332492007e-12,6.84786607439983e-13,7.58925988580697e-14,1.16310183616211e-15,3.00353888607513e-14,4.29708997998589e-14,3.4502235664196e-14,2.0216626453285e-14,9.28559590692767e-15,3.35533660750356e-15,8.99359530810805e-16,1.44664835008197e-16,3.68137751406111e-18,7.81593585229506e-18,1.80514065437299e-17,1.61481207828117e-17,9.74563424583303e-18,4.5243005935041e-18,1.67392227155941e-18,4.85861397450103e-19,1.01526853270961e-19,1.11704914549427e-20,5.37794280164388e-24,1.37272285583375e-21,1.89516554995966e-21,1.32098585280955e-21,6.60570211603197e-22,2.61528093155354e-22,8.43844605180187e-23,2.19777297218638e-23,4.3672954411268e-24,5.56596739146807e-25,1.9644472184324e-26,6.1804765623139e-27,1.45060572427542e-26,9.50477885787204e-27,3.81172270606128e-27,1.06036884320705e-27,1.95563315450086e-28,1.73910006155193e-29,6.87827455375852e-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
directComparison20241114T133259.mat,-61.3678451462832,3.5801,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",120,1.40298370431586,1.31681272199949,0.463025894533147,0.377580155376602,0.808915684690055,0.920112700901452,0.15824694560555,0.353848959801906,1.33573233799564,0.463025893755392,1.04498140905903,0.185062149379614,0,28.6688297634925,0.73485115744661,0.0387160978194513,0.397617301466348,0.0166775225005497,0.026643517321099,0.00370757646511018,0.00163954230878677,0.000355121739731366,3.95473167674745e-05,8.57133032519258e-07,2.89444337739063e-05,6.15538382750655e-05,8.04669236512264e-05,8.48650073984386e-05,7.87307278140571e-05,6.66516085819616e-05,5.24183358899553e-05,3.86081403232906e-05,2.66886233162446e-05,1.72724180939789e-05,1.03895402243825e-05,5.72834160728739e-06,2.82305435747677e-06,1.18434697755343e-06,3.78322403117254e-07,6.38718839507092e-08,1.19519423802581e-10,3.53331289402897e-08,8.69033349850269e-08,1.19472222367266e-07,1.25647362549318e-07,1.1142189307686e-07,8.66819877249058e-08,6.00938129722515e-08,3.71658913001971e-08,2.02361538851863e-08,9.35510091478132e-09,3.35565057010559e-09,7.06279809932909e-10,7.55842743463955e-12,1.92113032843528e-10,5.6579535478098e-10,7.80705715499046e-10,7.59514970774597e-10,5.80312759568253e-10,3.60221148493177e-10,1.81193137091671e-10,7.08145829020957e-11,1.88498025670799e-11,1.98490402210545e-12,2.02283884196107e-13,2.04681148955637e-12,3.1630692722631e-12,2.9749871206382e-12,2.12623430340175e-12,1.24031729911517e-12,6.02727434151474e-13,2.40878052567183e-13,7.464878531995e-14,1.49457221219456e-14,7.53141845671992e-16,6.18293373134364e-16,2.29294066408435e-15,2.77761755810941e-15,2.26770726832746e-15,1.46625007576219e-15,7.94577035034413e-16,3.67255916252521e-16,1.43629064691682e-16,4.5678346457854e-17,1.05729006168261e-17,1.1978755281591e-18,8.78937316426704e-21,4.09834704672767e-19,6.41021894353278e-19,5.69321795419842e-19,3.82681867064712e-19,2.13125413704912e-19,1.01831233703546e-19,4.21213268858709e-20,1.49201710260754e-20,4.35551885685168e-21,9.47310350491946e-22,1.0947436764666e-22,7.82512261894584e-27,2.06370345059415e-23,3.27908556121353e-23,2.79512830997843e-23,1.78778310402484e-23,9.50814234865255e-24,4.38510128301526e-24,1.78376845559545e-24,6.4121615163148e-25,2.01196909696004e-25,5.32703904429683e-26,1.09653064209248e-26,1.37440267303386e-27,1.89779062928408e-29,7.99783522177322e-29,1.52474960122608e-28,1.28995859637737e-28,7.89276275339179e-29,3.98339197016815e-29,1.7486825803544e-29,6.84390343245367e-30,2.41379578403791e-30,7.68594691572812e-31,2.19626380937577e-31,5.54480423758091e-32,1.19880559581639e-32,2.08244785615076e-33,2.48949846781251e-34,1.12876200622432e-35,6.73016118773366e-37,2.37573029967357e-36,1.2102241184164e-36,2.24912481521994e-37,5.29045189650481e-30
directComparison20241114T133337.mat,-29.3460994854207,0.81868,0.0189312135804878,0.0303767049367025,"Version v2 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.25534435076088,1.4845145730428,0.673322864033108,0.922331482797937,1.16874363979007,0.716478369888438,0.308997092892233,0.542176515104457,1.51177228546252,0.673322858852076,0.844725361559596,0.333048015615498,0,18.5796467809511,1.11228668508428,0.0883619190028412,0.162671272841642,0.0262005947117912,0.00393060709904277,0.000538313096768256,2.40071412124234e-05,0.000314277935508567,0.00057019845530089,0.000650483480952787,0.000596952157509598,0.000478097895930515,0.000342598470993541,0.000221378535862578,0.000128408738713481,6.56022254368503e-05,2.83084290122919e-05,9.37411654269031e-06,1.7786010862885e-06,1.11181283947243e-08,4.69462617830404e-07,1.24009105743852e-06,1.59953200939786e-06,1.49096366633645e-06,1.11838741483313e-06,7.00173544721655e-07,3.62493086920511e-07,1.40339970374732e-07,2.76876160261642e-08,2.1104363393142e-11,1.38825417075968e-08,2.78094529241843e-08,2.63391030663968e-08,1.59128928536087e-08,6.40384420538379e-09,1.51352309501348e-09,9.34200930560638e-11,4.89163904785305e-11,1.87644808034734e-10,1.97815872333341e-10,1.27592218690552e-10,5.82259138471812e-11,1.87353720063049e-11,3.60758049648212e-12,1.52069999367846e-13,1.42749406109602e-13,4.1612931948604e-13,3.96131523540486e-13,2.39908730881259e-13,1.05309733703988e-13,3.35101858030732e-14,6.79520408672854e-15,4.57579377866358e-16,8.47723786870557e-17,4.00317221553821e-16,4.00522280188915e-16,2.40045621212215e-16,1.02632847399372e-16,3.20132934130613e-17,6.67359745923805e-18,6.16710278940927e-19,7.65679978585308e-21,1.55845356150187e-19,1.70931867163045e-19,1.02151080805373e-19,4.30023909358575e-20,1.35074588903295e-20,3.06410082693917e-21,4.18774806000942e-22,1.18195164563518e-23,9.7826700371265e-24,2.0028995071066e-23,1.40037859498901e-23,6.35937842460664e-24,2.15557672474274e-24,5.61429302955057e-25,1.08113034617371e-25,1.30815751033103e-26,4.38679508756104e-28,1.18168986067495e-28,2.57401619061252e-28,1.52912800953139e-28,5.55777569707256e-29,1.42705379298145e-29,2.59977210693692e-30,3.02566750784997e-31,1.52602867927461e-32,2.93560164583245e-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
