file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,max_width,contact_time_ms,coef_restitution,north_pole_min_height,north_pole_exp_min_height,max_contact_radius,spread_time_ms,spread_time_width_ms,contact_time_exp_ms,coef_rest_exp,max_contact_radius_exp,spread_time_exp_ms,energy_modes_1,energy_modes_2,energy_modes_3,energy_modes_4,energy_modes_5,energy_modes_6,energy_modes_7,energy_modes_8,energy_modes_9,energy_modes_10,energy_modes_11,energy_modes_12,energy_modes_13,energy_modes_14,energy_modes_15,energy_modes_16,energy_modes_17,energy_modes_18,energy_modes_19,energy_modes_20,energy_modes_21,energy_modes_22,energy_modes_23,energy_modes_24,energy_modes_25,energy_modes_26,energy_modes_27,energy_modes_28,energy_modes_29,energy_modes_30,energy_modes_31,energy_modes_32,energy_modes_33,energy_modes_34,energy_modes_35,energy_modes_36,energy_modes_37,energy_modes_38,energy_modes_39,energy_modes_40,energy_modes_41,energy_modes_42,energy_modes_43,energy_modes_44,energy_modes_45,energy_modes_46,energy_modes_47,energy_modes_48,energy_modes_49,energy_modes_50,energy_modes_51,energy_modes_52,energy_modes_53,energy_modes_54,energy_modes_55,energy_modes_56,energy_modes_57,energy_modes_58,energy_modes_59,energy_modes_60,energy_modes_61,energy_modes_62,energy_modes_63,energy_modes_64,energy_modes_65,energy_modes_66,energy_modes_67,energy_modes_68,energy_modes_69,energy_modes_70,energy_modes_71,energy_modes_72,energy_modes_73,energy_modes_74,energy_modes_75,energy_modes_76,energy_modes_77,energy_modes_78,energy_modes_79,energy_modes_80,energy_modes_81,energy_modes_82,energy_modes_83,energy_modes_84,energy_modes_85,energy_modes_86,energy_modes_87,energy_modes_88,energy_modes_89,energy_modes_90
Sanjay20250703T124810.mat,-32.4334610001251,1,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",45,1.29183603615978,1.44142299154974,0.691256788760852,2.31692604508837,1.15924252431651,0.770453890139891,0.310200028924899,0.51001719041418,1.49261521720761,0.691256788760852,0.890667457741371,0.333997966314079,0,0.0588427825922304,0.0177367015353598,0.00191834480967753,0.000659243396926831,0.000155434022803734,6.47818995577147e-05,2.91752723535194e-05,1.36004372845214e-05,7.36457617107785e-06,3.8715518558362e-06,2.15179625707439e-06,1.16275687519741e-06,6.24279235607848e-07,3.32817061306179e-07,1.80811276499517e-07,1.06943587513979e-07,7.03921780490219e-08,5.02598664531921e-08,3.2865682669796e-08,1.71917552740306e-08,7.19653730982885e-09,2.55552872141779e-09,8.47221373242274e-10,3.0172503834304e-10,1.27969442919997e-10,6.15279455537687e-11,2.98058861402855e-11,1.35070360985361e-11,5.55713378435455e-12,2.05527900291706e-12,6.84004696151558e-13,2.08535189077705e-13,6.14096408388374e-14,1.92367692322904e-14,6.90576728334364e-15,2.72618848004653e-15,1.06507850879062e-15,3.8116956143082e-16,1.19891205893735e-16,3.21498972650306e-17,7.0319890724849e-18,1.13562001985237e-18,9.74424116187572e-20,1.35838633929704e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanjay20250703T125039.mat,-32.4334610001251,1,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",45,1.29183603615978,1.44142299154974,0.691256788760852,2.31692604508837,1.15924252431651,0.770453890139891,0.310200028924899,0.51001719041418,1.49261521720761,0.691256788760852,0.890667457741371,0.333997966314079,0,0.0588427825922304,0.0177367015353598,0.00191834480967753,0.000659243396926831,0.000155434022803734,6.47818995577147e-05,2.91752723535194e-05,1.36004372845214e-05,7.36457617107785e-06,3.8715518558362e-06,2.15179625707439e-06,1.16275687519741e-06,6.24279235607848e-07,3.32817061306179e-07,1.80811276499517e-07,1.06943587513979e-07,7.03921780490219e-08,5.02598664531921e-08,3.2865682669796e-08,1.71917552740306e-08,7.19653730982885e-09,2.55552872141779e-09,8.47221373242274e-10,3.0172503834304e-10,1.27969442919997e-10,6.15279455537687e-11,2.98058861402855e-11,1.35070360985361e-11,5.55713378435455e-12,2.05527900291706e-12,6.84004696151558e-13,2.08535189077705e-13,6.14096408388374e-14,1.92367692322904e-14,6.90576728334364e-15,2.72618848004653e-15,1.06507850879062e-15,3.8116956143082e-16,1.19891205893735e-16,3.21498972650306e-17,7.0319890724849e-18,1.13562001985237e-18,9.74424116187572e-20,1.35838633929704e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanjay20250703T125043.mat,-32.4334610001251,1,0,0.0303767049367025,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.29246069970093,1.4403353185642,0.698728946176733,2.31403391189805,1.16016155443811,0.7524848974914,0.290472155985157,0.520101203890615,1.49293812610701,0.69873137139,0.889752829186124,0.332767425217995,0,0.0607866328207495,0.0188638824148376,0.00198737093057065,0.000753944190517497,0.00015267946005428,7.31859552793781e-05,2.97935087672496e-05,1.47829452226085e-05,7.65219794885798e-06,4.04972139283348e-06,2.15154457776489e-06,1.12439583905961e-06,5.70746938150825e-07,2.83010163030768e-07,1.40280348556721e-07,7.30245112332363e-08,4.20519701977707e-08,2.68560696858669e-08,1.79761053387095e-08,1.17861084870004e-08,7.22966509615495e-09,4.05148278906969e-09,2.05999764665414e-09,9.65292139871086e-10,4.43406948068756e-10,2.25923492090141e-10,1.39817006523162e-10,9.80731711725796e-11,6.81767496374311e-11,4.28592304767841e-11,2.30731630725051e-11,1.03629246505849e-11,4.05208339963909e-12,1.69888900943241e-12,9.6250662882349e-13,6.24583769627661e-13,3.61271457947089e-13,1.70951501477274e-13,6.56750022171156e-14,2.1196075558799e-14,6.58310888371506e-15,2.6000467602989e-15,1.38240069646179e-15,7.59746783258959e-16,3.66335577887664e-16,1.48954722524178e-16,5.10397743483636e-17,1.50399906471793e-17,4.13703770708211e-18,1.31784723225586e-18,5.77342732719137e-19,2.94259976440821e-19,1.4152165185457e-19,5.95717048381065e-20,2.16470820225047e-20,6.80273946792548e-21,1.87123895096291e-21,4.72967981528774e-22,1.27302047186645e-22,4.48070946918059e-23,1.99963772165273e-23,9.18720757989612e-24,3.86720893275629e-24,1.44644437994516e-24,4.79514183238268e-25,1.4137482400457e-25,3.72967886248582e-26,8.96037727253154e-27,2.07368427252997e-27,5.27564914595063e-28,1.6961707213322e-28,6.60013607572906e-29,2.66398673870746e-29,1.01596444664664e-29,3.55336624156947e-30,1.13434802592752e-30,3.31085926969169e-31,8.85437849275287e-32,2.17249108598683e-32,4.89695445243858e-33,1.0190165316348e-33,1.99015620174522e-34,3.80140837590956e-35,7.5921063064149e-36,1.64657695827621e-36,3.61163203450627e-37,6.65241991663966e-38,6.87954824759883e-39,2.71258669915436e-29
Sanjay20250703T125631.mat,-32.4334610001251,1,0,0.00759417623417563,"Version v3 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.30572995215206,1.43002778025423,0.822225245444643,2.2625275114235,1.14055701791118,0.759094564421591,0.3500268217761,0.510366306597865,1.47289569050429,0.822242509159263,0.895600102270433,0.343074963527965,0,0.103641370436759,0.0406662813341935,0.00943901499252085,0.00761835238048136,0.000879681412550084,0.00121471007704926,4.44267432031217e-05,0.000368078262706025,7.97506112196672e-05,6.05674291526322e-06,3.3113144079589e-05,1.1819236732629e-05,1.94352959729461e-06,2.53474235778618e-06,2.4187989528148e-06,1.49163562885007e-06,8.51848007439139e-07,5.5898311757529e-07,4.06907963737427e-07,2.94904210409511e-07,2.12274749812851e-07,1.57291049465135e-07,1.19673005317481e-07,9.17681896784102e-08,7.03728896740558e-08,5.37381261155572e-08,4.05119876202501e-08,3.01336071845664e-08,2.22260613433433e-08,1.55218898780659e-08,1.01329967743021e-08,9.21041058928386e-09,1.12636121832942e-08,1.28103238323326e-08,1.27326427330488e-08,1.07668389515262e-08,7.69112413583482e-09,4.82749764405512e-09,2.86530930959648e-09,1.73373343383206e-09,1.1002196542304e-09,7.10955754895895e-10,4.47235273360311e-10,2.66761403263147e-10,1.50545915384831e-10,8.18936275321554e-11,4.44619671023186e-11,2.50330459150832e-11,1.4881971386633e-11,9.19679746657781e-12,5.70648946946088e-12,3.447526682552e-12,1.99554651111385e-12,1.10637825684274e-12,5.96437697308591e-13,3.21851493837068e-13,1.80001621737391e-13,1.06554338042758e-13,6.61029464163484e-14,4.1488839241139e-14,2.53406726633098e-14,1.46625633939269e-14,7.96370326645182e-15,4.10591744968052e-15,2.07722721902511e-15,1.07881689668893e-15,5.90578435141528e-16,3.34905975721048e-16,1.88134356178874e-16,1.00675781819309e-16,5.03411873763925e-17,2.35393281133418e-17,1.04982674589693e-17,4.6342529750179e-18,2.11059518201393e-18,1.00992183946726e-18,4.97183010203885e-19,2.41494199528916e-19,1.1159244552872e-19,4.80320361071538e-20,1.91249504227574e-20,7.08108956359638e-21,2.47718299218155e-21,8.35632260669656e-22,2.73050742561628e-22,8.27453011476734e-23,2.0404082181959e-23,2.81796404696631e-24,1.99975625641304e-15
