file_name,initial_velocity_cgs,weber,bond,ohnesorge,parent_folder,number_of_harmonics,max_width,contact_time_ms,coef_restitution,north_pole_min_height,north_pole_exp_min_height,max_contact_radius,spread_time_ms,spread_time_width_ms
simulation 20241024T143616.mat,NaN,1,0.0189312135804878,1.51883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,-Inf,NaN,NaN,Inf,Inf,-Inf,NaN,NaN
simulation 20241024T151910.mat,-32.4334610001251,1,0.0189312135804878,1.51883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",90,1.06675973300266,1.73269718990635,0.0315613811621931,1.64695591512479,1.69520211791218,0.551684959592518,0.216801889119718,0.462350357303907
simulation 20241024T152934-2.mat,-34.0165008737127,1.1,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.29565516401528,1.44126704715599,0.714269116809471,0.707964136820579,1.11964673995455,0.79150531032866,0.314651105143629,0.493778326049361
simulation 20241024T152934-6.mat,-34.0165008737127,1.1,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.28722354277558,1.4518732641833,0.628470248695534,0.813687725895155,1.15793651561894,0.786674686869275,0.326435790729533,0.499670668842312
simulation 20241024T152934-9.mat,-34.0165008737127,1.1,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.26447498910661,1.46012254409344,0.492511284647968,1.0131945406936,1.57028186681916,0.766130034006265,0.38653768721764,0.520883102896938
simulation 20241024T152934.mat,-34.0165008737127,1.1,0.0189312135804878,0.303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.18439241453094,1.44951632706612,0.263877405805742,1.33765687363774,1.53915202153023,0.7198469356296,0.242764523069617,0.512633822986806
simulation 20241024T152942-3.mat,-39.7227150213823,1.5,0.0189312135804878,0.759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.12829523238447,1.42682327555109,0.116643974899179,1.48021497397856,1.64134791436906,0.678985043797977,0.24028719672101,0.451404157333531
simulation 20241024T152942-5.mat,-44.7064407624741,1.9,0.0189312135804878,0.0303767049367025,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.33832341662076,1.38587902490225,0.544681772240201,0.617686818298194,1.02357668863982,0.854848371582562,0.186198032257279,0.427784086768302
simulation 20241024T152942-7.mat,-36.9798351832539,1.3,0.0189312135804878,0.0151883524683513,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",60,1.31047574796636,1.41695995830578,0.701820004697929,0.621460047594331,1.07634402101358,0.789775178426915,0.234621035750296,0.473019512147736
simulation 20241024T152942.mat,-39.7227150213823,1.5,0.0189312135804878,0.0759417623417563,"Version v1 (rhoS=9.60e-01, sigmaS=2.05e+01, R=2.03e-02)",30,1.29051580011945,1.41651920742559,0.447676027677883,0.937239743887147,1.53407307728479,0.820598702584571,0.246299928745388,0.466673549201783
